date,value,up&down,10,20,30,60
2022-12-14,0.8688,2.71,0.8207800000000001,0.7800199999999999,0.7651233333333334,0.76326
2022-12-15,0.8597,-1.05,0.8287699999999999,0.7854099999999999,0.7704133333333334,0.7640933333333333
2022-12-16,0.8648,0.59,0.83727,0.7909200000000001,0.77466,0.7653300000000001
2022-12-19,0.8532,-1.34,0.8432000000000001,0.7968949999999999,0.7784533333333333,0.7662133333333333
2022-12-20,0.8208,-3.8,0.8435,0.8010849999999999,0.7815433333333334,0.7663433333333334
2022-12-21,0.8316,1.32,0.8449,0.806025,0.7853533333333333,0.7668066666666667
2022-12-22,0.8502,2.24,0.84779,0.81233,0.7895,0.76778
2022-12-23,0.8571,0.81,0.84871,0.8190200000000001,0.79319,0.7687966666666667
2022-12-26,0.8464,-1.25,0.84985,0.82513,0.7967533333333333,0.7694266666666666
2022-12-27,0.859,1.49,0.8511599999999999,0.8302400000000001,0.8001233333333333,0.7697966666666667
2022-12-28,0.8556,-0.4,0.84984,0.83531,0.8032933333333333,0.77021
2022-12-29,0.8461,-1.11,0.84848,0.8386250000000001,0.8064333333333333,0.7705133333333333
2022-12-30,0.852,0.7,0.8472,0.842235,0.8096800000000001,0.77097
2023-01-03,0.8369,-1.77,0.84557,0.8443849999999999,0.8131200000000001,0.7719116666666667
2023-01-04,0.8391,0.26,0.8474,0.8454500000000001,0.8165233333333333,0.7728666666666668
2023-01-05,0.8793,4.79,0.8521699999999999,0.8485349999999998,0.8214066666666666,0.7745766666666666
2023-01-06,0.8783,-0.11,0.8549800000000001,0.8513850000000002,0.8265466666666667,0.77647
2023-01-09,0.9016,2.65,0.8594299999999999,0.8540699999999999,0.83249,0.778455
2023-01-10,0.9062,0.51,0.86541,0.85763,0.8385566666666667,0.7807099999999999
2023-01-11,0.9004,-0.64,0.86955,0.860355,0.8433433333333333,0.7829533333333333
2023-01-12,0.8938,-0.73,0.8733699999999999,0.861605,0.8479966666666667,0.7854883333333332
2023-01-13,0.9199,2.92,0.8807499999999999,0.864615,0.8526666666666666,0.7883416666666666
2023-01-16,0.9382,1.99,0.8893700000000001,0.868285,0.8579466666666666,0.7916816666666666
2023-01-17,0.9245,-1.46,0.8981300000000001,0.87185,0.8623,0.7955183333333333
2023-01-18,0.9168,-0.83,0.9059,0.8766499999999999,0.8656,0.7992450000000001
2023-01-19,0.9132,-0.39,0.90929,0.88073,0.8687866666666667,0.8028983333333333
2023-01-20,0.91,-0.35,0.91246,0.88372,0.8717433333333333,0.807015
2023-01-30,0.9254,1.69,0.91484,0.887135,0.8743266666666667,0.8114699999999999
2023-01-31,0.8981,-2.95,0.91403,0.88972,0.8764299999999999,0.8156066666666667
2023-02-01,0.9042,0.68,0.91441,0.89198,0.8783733333333333,0.819105
2023-02-02,0.9141,1.09,0.91644,0.894905,0.8798833333333334,0.8225033333333333
2023-02-03,0.9064,-0.84,0.91509,0.89792,0.8814399999999999,0.8259266666666668
2023-02-06,0.8908,-1.72,0.91035,0.89986,0.8823066666666667,0.8284833333333333
2023-02-07,0.8891,-0.19,0.90681,0.90247,0.8835033333333333,0.8309783333333333
2023-02-08,0.8828,-0.71,0.90341,0.904655,0.88557,0.8335566666666667
2023-02-09,0.9112,3.22,0.90321,0.90625,0.8882233333333333,0.8367883333333332
2023-02-10,0.916,0.53,0.90381,0.908135,0.8904166666666667,0.8399583333333334
2023-02-13,0.9496,3.67,0.90623,0.910535,0.8935,0.8433449999999999
2023-02-14,0.9445,-0.54,0.91087,0.91245,0.89677,0.8467616666666667
2023-02-15,0.9448,0.03,0.91493,0.91467,0.89963,0.8498766666666667
2023-02-16,0.9512,0.68,0.91864,0.91754,0.9028166666666666,0.853055
2023-02-17,0.9405,-1.12,0.92205,0.91857,0.9059633333333332,0.8561983333333334
2023-02-20,0.9589,1.96,0.92886,0.919605,0.9095266666666666,0.8596033333333334
2023-02-21,0.9465,-1.29,0.9346,0.920705,0.91318,0.86315
2023-02-22,0.9444,-0.22,0.94076,0.922085,0.91669,0.8666066666666666
2023-02-23,0.9349,-1.01,0.94313,0.92317,0.9185433333333334,0.8699749999999999
2023-02-24,0.9205,-1.54,0.94358,0.923695,0.91995,0.8732483333333333
2023-02-27,0.9312,1.16,0.94174,0.923985,0.9209366666666668,0.8767133333333332
2023-02-28,0.9314,0.02,0.94043,0.92565,0.9217766666666668,0.8801666666666667
2023-03-01,0.94,0.92,0.93995,0.92744,0.9230966666666666,0.88322
2023-03-02,0.9383,-0.18,0.93866,0.92865,0.92458,0.8862883333333332
2023-03-03,0.932,-0.67,0.93781,0.92993,0.9249833333333334,0.8888250000000001
2023-03-06,0.9308,-0.13,0.935,0.93193,0.9247366666666668,0.8913416666666667
2023-03-07,0.9146,-1.74,0.93181,0.9332049999999998,0.9244066666666668,0.8933533333333333
2023-03-08,0.9077,-0.75,0.92814,0.93445,0.9241033333333332,0.8948516666666667
2023-03-09,0.9011,-0.73,0.9247599999999998,0.933945,0.9237,0.8962433333333333
2023-03-10,0.8879,-1.46,0.9215,0.93254,0.9229633333333334,0.8973533333333333
2023-03-13,0.9054,1.97,0.91892,0.93033,0.9222966666666668,0.8983116666666666
2023-03-14,0.8956,-1.08,0.91534,0.927885,0.9222133333333332,0.8993216666666667
2023-03-15,0.8834,-1.36,0.90968,0.924815,0.92152,0.8999466666666667
2023-03-16,0.8831,-0.03,0.90416,0.9214099999999998,0.9204866666666668,0.900185
2023-03-17,0.8686,-1.64,0.8978200000000001,0.9178149999999998,0.9192266666666667,0.9003333333333334
2023-03-20,0.8587,-1.14,0.89061,0.912805,0.9181566666666666,0.9002316666666667
2023-03-21,0.8843,2.98,0.88758,0.909695,0.9179966666666668,0.90075
2023-03-22,0.8817,-0.29,0.88498,0.90656,0.91796,0.901765
2023-03-23,0.8927,1.25,0.88414,0.90445,0.9173433333333332,0.9027833333333334
